mandatory_field,table_name,odoo_field_name,mapped_name,a3erp_field_name,default_value,field_use,relational_table,table_code,sequence,line_field_use
,CONTACTOS,id_contacto_relacion,idcontactorelacion,__CONTACTOSRELACION.ID as IDCONTACTORELACION,,A3ERP->ODOO,,,5
,CARGOS,id_cargo,idcargo,ID,,A3ERP->ODOO,,,5
,CLIENTES,user_id,cod_rep,CODREP,,,res.users,cod_rep_a3,6
,CLIENTES,opcional_obligatorio,exento_canon,APEN_EXENTOCANON,,,,,7
,PRODUCTOS,image_1920,imagen,IMAGEN,,A3ERP->ODOO,,,7
,CONTACTOS,country_id,codpais,__CONTACTOS.CODPAIS,,,res.country,code,7
,CLIENTES,customer_payment_mode_id,docpag,DOCPAG,,,account.payment.mode,a3erp_payment_mode_code,8
,CABEOFEV,payment_term_id,,FORPAG,,ODOO->A3ERP,account.payment.term,a3erp_payment_term_code,8
,CONTACTOS,tipo_entidad_contacto,tipoentidad,IDTIPOENTIDAD,,A3ERP->ODOO,,,8
,PRODUCTOS,default_code,artpro,ARTPRO,,,,,8
,CONTACTOS,state_id,codprovi,__CONTACTOS.CODPROVI,,,res.country.state,code,9
,CABEOFEV,payment_mode_id,,DOCPAG,,ODOO->A3ERP,account.payment.mode,a3erp_payment_mode_code,9
,CLIENTES,active,obsoleto,OBSOLETO,,A3ERP->ODOO,,,9
,CABEOFEV,validity_date,,FECCADUCI,,ODOO->A3ERP,,,10
,PRODUCTOS,categ_id,codfamest,CODFAMEST,,A3ERP->ODOO,product.category,a3erp_category_code,10
,CLIENTES,name,,RAZON,,ODOO->A3ERP,,,10
,CONTACTOS,city,poblacion,__CONTACTOS.POBLACION,,,,,10
,PRODUCTOS,taxes_id,tipiva,TIPIVA,,A3ERP->ODOO,account.tax,a3erp_iva_code,11
,CONTACTOS,phone,telefono1,__CONTACTOSRELACION.TELEFONO1,,,,,11
,CLIENTES,cod_cliente_a3,codcli,CODCLI,,A3ERP->ODOO,,,11
,CABEOFEV,user_id,,CODREP,,ODOO->A3ERP,res.users,cod_rep_a3,11
,CONTACTOS,mobile,telefono2,__CONTACTOSRELACION.TELEFONO2,,,,,12
True,CLIENTES,vat,nifcli,NIFCLI,,,,,12
True,PRODUCTOS,name,descart,DESCART,,,,,12
,CABEOFEV,amount_untaxed,,BASEBRUTA,,ODOO->A3ERP,,,12
,CLIENTES,name,nomcli,NOMCLI,,,,,13
,PRODUCTOS,description_sale,texto,TEXTO,,,,,13
,CONTACTOS,active,obsoleto,__CONTACTOSRELACION.OBSOLETO,,A3ERP->ODOO,,,13
,PRODUCTOS,standard_price,prccoste,PRCCOMPRA,,,,,14
True,PRODUCTOS,list_price,prcventa,PRCVENTA,,,,,15
,CLIENTES,lang,codidioma,CODIDIOMA,,,res.lang,,15
True,CLIENTES,state_id,codprovi,CODPROVI,,,res.country.state,code,16
True,CLIENTES,city,pobcli,POBCLI,,,,,17
,PRODUCTOS,carac1_id,car1,CAR1,,,res.caracteristicas,cod_carac,17
,PRODUCTOS,carac2_id,car2,CAR2,,,res.caracteristicas,cod_carac,18
True,CLIENTES,street,dircli1,DIRCLI1,,,,,18
True,CLIENTES,zip,dtocli,DTOCLI,,,,,19
,PRODUCTOS,carac3_id,car3,CAR3,,,res.caracteristicas,cod_carac,19
,PRODUCTOS,carac4_id,car4,CAR4,,,res.caracteristicas,cod_carac,19
,PRODUCTOS,carac5_id,car5,CAR5,,,res.caracteristicas,cod_carac,19
,PRODUCTOS,carac6_id,car6,CAR6,,,res.caracteristicas,cod_carac,19
,PRODUCTOS,carac7_id,car7,CAR7,,,res.caracteristicas,cod_carac,19
,PRODUCTOS,carac8_id,car8,CAR8,,,res.caracteristicas,cod_carac,20
,PRODUCTOS,carac9_id,car9,CAR9,,,res.caracteristicas,cod_carac,20
True,CLIENTES,phone,telcli,TELCLI,,,,,20
,CLIENTES,mobile,telcli2,TELCLI2,,,,,21
True,CLIENTES,email,e_mail,E_MAIL,,,,,22
,CLIENTES,cod_tarifa_a3,tarifa,TARIFA,,A3ERP->ODOO,,,23
True,CLIENTES,country_id,codpais,CODPAIS,,,res.country,code,24
,CLIENTES,,,FORMATOENVIOFV,PDF|STRING,ODOO->A3ERP,,,25
,CLIENTES,,,FORMATOENVIO,PDF|STRING,ODOO->A3ERP,,,26
,CLIENTES,email,,E_MAIL_DOCS,,ODOO->A3ERP,,,27
,CLIENTES,website,paginaweb,PAGINAWEB,,,,,28
,CLIENTES,carac1_org_id,car1_org,CAR1_ORG,,,res.caracteristicas,cod_carac,29
,CLIENTES,carac2_org_id,car2_org,CAR2_ORG,,,res.caracteristicas,cod_carac,30
,CLIENTES,carac3_org_id,car3_org,CAR3_ORG,,,res.caracteristicas,cod_carac,31
,CLIENTES,carac4_org_id,car4_org,CAR4_ORG,,,res.caracteristicas,cod_carac,32
,CLIENTES,carac5_org_id,car5_org,CAR5_ORG,,,res.caracteristicas,cod_carac,33
,CLIENTES,carac6_org_id,car6_org,CAR6_ORG,,,res.caracteristicas,cod_carac,34
,CLIENTES,carac8_org_id,car8_org,CAR8_ORG,,,res.caracteristicas,cod_carac,35
,CLIENTES,carac7_org_id,car7_org,CAR7_ORG,,,res.caracteristicas,cod_carac,36
,CLIENTES,carac1_id,car1,CAR1,,,res.caracteristicas,cod_carac,36
,CLIENTES,carac2_id,car2,CAR2,,,res.caracteristicas,cod_carac,36
,CLIENTES,carac3_id,car3,CAR3,,,res.caracteristicas,cod_carac,36
,CLIENTES,carac4_id,car4,CAR4,,,res.caracteristicas,cod_carac,36
,CLIENTES,carac5_id,car5,CAR5,,,res.caracteristicas,cod_carac,36
,CLIENTES,carac6_id,car6,CAR6,,,res.caracteristicas,cod_carac,36
,CLIENTES,carac7_id,car7,CAR7,,,res.caracteristicas,cod_carac,36
,CLIENTES,carac8_id,car8,CAR8,,,res.caracteristicas,cod_carac,36
,CLIENTES,carac9_id,car9,CAR9,,,res.caracteristicas,cod_carac,36
,LINEOFER,name,desclin,DESCLIN,,ODOO->A3ERP,,,26
,LINEOFER,price_unit,prcmoneda,PRCMONEDA,,ODOO->A3ERP,,,36
,LINEOFER,discount,desc1,DESC1,,ODOO->A3ERP,,,40
,LINEOFER,purchase_price,prcmedio,PRCMEDIO,,ODOO->A3ERP,,,44,sale
,IDIOMA,name,descart,DESCART,,A3ERP->ODOO,,,48
,IDIOMA,lang,codidioma,CODIDIOMA,,A3ERP->ODOO,,,63
,IDIOMA,description_sale,texto,TEXTO,,A3ERP->ODOO,,,64
,LINEOFER,product_uom_qty,unidades,UNIDADES,,ODOO->A3ERP,,,65
,IDIOMA,cod_articulo_a3,codart,CODART,,A3ERP->ODOO,,,68
,LINEOFER,analytic_distribution,centrocoste,CENTROCOSTE,,ODOO->A3ERP,,,73
,LINEOFER,analytic_distribution,centrocoste2,CENTROCOSTE2,,ODOO->A3ERP,,,74
,LINEOFER,analytic_distribution,centrocoste3,CENTROCOSTE3,,ODOO->A3ERP,,,77
,CABEPEDC,date_order,,FECHA,,ODOO->A3ERP,,,105
,FAMILIAS,name,nombre,DESCFAM,,A3ERP->ODOO,,,5
,FAMILIAS,a3erp_category_code,codigo,CODFAM,,A3ERP->ODOO,,,5
